year;id;extends;predecessors;name;developers;companies;wiki;paradigm;;;
1975;modula;Pascal;;Modula;Niklaus Wirth;;Modula;;;;
1975;prose;SLANG, FORTRAN;;PROSE;;CDC 6400 Cybernet KRONOS Services;;;;;
1975;scheme;LISP;;Scheme;Gerald Jay Sussman, Guy L. Steele Jr.;;Scheme_(programming_language);;;;
1975;bc;;;bc;Robert Morris;Bell Labs;Bc_(programming_language);math;dynamic;;www.gnu.org
1975;dcl;;;DCL;;Digital Equipment Corporation;DIGITAL_Command_Language;scripting (shell);weak;OpenVMS command language;https://vmssoftware.com
1975;focus;;;FOCUS;;Information Builders;FOCUS;4gl/reporting;static;Business Intelligence/Reporting;https://www.ibi.com
1975;mortran;;;Mortran;A. J. Cook;Stanford (SLAC);Mortran;procedural (fortran ext.);static;High-energy physics macros;en.wikipedia.org
1975;pop11;;;POP-11;Robin Popplestone;University of Sussex;POP-11;multi-paradigm/ai;dynamic;AI education (Poplog);en.wikipedia.org
1975;protel;;;PROTEL;Nortel;Nortel Networks;Protel;systems;static;Telecommunications switching;en.wikipedia.org
1975;ssl;;;S/SL;Holt,Cordy;University of Toronto;S/SL_programming_language;specification;static;Compiler construction;en.wikipedia.org
1976;integerbasic;BASIC;;Integer BASIC;Steve Wozniak;;;;;;
1976;mesa;ALGOL;;Mesa;;Xerox PARC;Mesa_(programming_language);;;;
1976;ratfor;C, FORTRAN;;Ratfor;Brian Kernighan;;Ratfor;;;;
1976;s;APL, PPL, Scheme;;S;John Chambers;Bell Labs;S_(programming_language);;;;
1976;sas;;;SAS;;SAS Institute;SAS_(software);;;;
1976;smalltalk76;Smalltalk-72;;Smalltalk-76;;Xerox PARC;;;;;
1976;beta;;;BETA;Kristen Nygaard, Bent Bruun Kristensen, Ole Lehrmann Madsen, Birger Møller-Pedersen;Aarhus University, Aalborg University Centre, Norwegian Computing Center, Oslo University, Mjølner Informatics;BETA_(programming_language);object-oriented, procedural, functional;strong, static, with runtime checks;;beta.cs.au.dk
1976;exec2;;;EXEC 2;IBM;IBM SP Development Group;EXEC_2;scripting;dynamic;VM/CMS scripting (successor to EXEC);https://www.ibm.com
1976;gams;;;General Algebraic Modeling System;;World Bank, GAMS Development Corp;General_Algebraic_Modeling_System;mathematical modeling;static;Linear/Nonlinear optimization;https://www.gams.com
1976;pl0;;;PL/0;Niklaus Wirth;ETH Zurich;PL/0;educational;static;Teaching compiler design;en.wikipedia.org
1976;plus;;;Plus;UBC;University of British Columbia;Plus_(programming_language);systems;static;Mainframe development (MTS);en.wikipedia.org_(programming_language)
1976;xpl0;;;XPL0;Daniel Weaver;Daniel Weaver;XPL0;procedural;static;System and game development;http://www.xpl0.org
1977;applesoftbasic;BASIC;;Applesoft BASIC;Marc McDonald, Ric Weiland;Apple Computer;;;;;
1977;bourneshellsh;;;Bourne Shell (sh);Stephen R. Bourne;;;;;;
1977;commodorebasic;BASIC;;Commodore BASIC;Jack Tramiel;;;;;;
1977;euclid;;;Euclid;Butler Lampson, Ric Holt, James Cordy;Xerox PARC, University of Toronto;Euclid_(programming_language);;;;
1977;fp;;;FP;John Backus;;FP_(programming_language);;;;
1977;idl;Fortran;;IDL;David Stern;Research Systems Inc;IDL_(programming_language);;;;
1977;standardmumps;MUMPS;;Standard MUMPS;;Massachusetts General Hospital;;;;;
1977;datalog;;;Datalog;Herve Gallaire;University of Maryland;Datalog;declarative (logic);static;Database queries/Code analysis;
1977;datatrieve;;;DATATRIEVE;;Digital Equipment Corporation;DATATRIEVE;query/reporting;strong;VMS Data management;https://vmssoftware.com
1977;m4;;;M4;Kernighan,Ritchie;Bell Labs;M4_(computer_language);macro processor;untyped;Configuration & text processing;www.gnu.org
1977;pearl;;;PEARL;GfK;GfK;PEARL_(programming_language);real-time;static;Industrial automation;http://www.real-time-languages.org
1977;ucsdpascal;;;UCSD Pascal;Kenneth Bowles;UCSD;UCSD_Pascal;procedural;static;Early microcomputer development;
1978;applesoftiibasic;Applesoft BASIC;;Applesoft II BASIC;Marc McDonald, Ric Weiland;;;;;;
1978;cshell;C;;C shell;Bill Joy;;C_Shell;;;;
1978;hals;XPL;;HAL/S;;designed by Intermetrics for NASA;HAL/S;;;;
1978;matlab;Fortran;;MATLAB;Cleve Moler;University of New Mexico;MATLAB;;;;
1978;rapt;APT;;RAPT;Pat Ambler, Robin Popplestone;;;;;;
1978;rpgiii;FARGO, RPG, RPG II;;RPG III;;IBM;;;;;
1978;small;Algol60;;SMALL;Nevil Brownlee;University of Auckland;SMALL;;;;
1978;visicalc;;;VisiCalc;Dan Bricklin, Bob Frankston;VisiCorp;;;;;
1978;controllanguage;;;Control Language;;IBM;Control_Language;scripting;static;IBM i (AS/400) management;https://www.ibm.com
1978;ffp;;;FFP;John Backus;IBM;FFP_(programming_language);functional (formal);strong;Theoretical research;
1978;franzlisp;;;Franz Lisp;;University of California Berkeley;Franz_Lisp;lisp/functional;dynamic;Symbolic math on VAX;
1978;ops5;;;OPS5;Charles Forgy;Carnegie Mellon University;OPS5;rule-based;dynamic;Expert systems;en.wikipedia.org
1978;tex;;;TeX;Donald Knuth;Stanford University;TeX;typesetting;dynamic;Scientific document preparation;https://www.tug.org
1978;zetalisp;;;ZetaLisp;Symbolics,LMI;Symbolics;ZetaLisp;lisp/object-oriented;dynamic;Lisp machine programming;en.wikipedia.org
1979;awk;C, SNOBOL;;AWK;Alfred Aho, Peter J. Weinberger, Brian Kernighan;;AWK;;;;
1979;icon;SNOBOL;;Icon;Ralph Griswold;;Icon_(programming_language);;;;
1979;modula2;Modula, Mesa;;Modula-2;Niklaus Wirth;;Modula-2;;;;
1979;rexx;PL/I, BASIC, EXEC 2;;REXX;Mike Cowlishaw;IBM;REXX;;;;
1979;tibasic;BASIC;;TI BASIC;;Texas Instruments;;;;;
1979;vulcandbaseii;RETRIEVE;;Vulcan dBase-II;Wayne Ratliff;;;;;;
1979;bloop;;;BlooP;Douglas Hofstadter;Indiana University;BlooP_and_FlooP;recursive, imperative;untyped;;
1979;dbase;;;dBase;Wayne Ratliff;Ashton-Tate;DBase;procedural/db;dynamic;PC Database management;https://www.dbase.com
1979;flavors;;;Flavors;;Symbolics, MIT;Flavors_(programming_language);object-oriented/mixin;dynamic;Lisp Machines/AI;avors_(programming_language)
1979;mouse;;;Mouse;Peter Grogono;Concordia University;Mouse_(programming_language);stack-based;untyped;Minimalist computing;en.wikipedia.org_(programming_language)
1979;powerhouse;;;Powerhouse;Cognos;Cognos (IBM);Powerhouse_(programming_language);4gl;static;Rapid application development;en.wikipedia.org_(programming_language)
1980;ada.80;ALGOL 68, Green;;Ada 80 (MIL-STD-1815);Jean Ichbiah;CII Honeywell Bull;Ada_(programming_language);;;;
1980;appleiiimicrosoftbasic;Microsoft BASIC;;Apple III Microsoft BASIC;;Microsoft;;;;;
